"","x"
"1","nube"
"2","nube"
"3","multiNube"
"4","nube"
"5","nube"
"6","nube"
"7","multiNube"
"8","multiNube"
"9","multiNube"
"10","nube"
"11","nube"
"12","nube"
"13","multiNube"
"14","nube"
"15","multiNube"
"16","multiNube"
"17","nube"
"18","nube"
"19","cieloDespejado"
"20","nube"
"21","nube"
"22","nube"
"23","nube"
"24","nube"
"25","nube"
"26","nube"
"27","multiNube"
"28","nube"
"29","nube"
"30","multiNube"
"31","nube"
"32","nube"
"33","multiNube"
"34","nube"
"35","nube"
"36","nube"
"37","nube"
"38","nube"
"39","nube"
"40","nube"
"41","nube"
"42","nube"
"43","nube"
"44","multiNube"
"45","nube"
"46","nube"
"47","nube"
"48","nube"
"49","nube"
"50","nube"
"51","nube"
"52","nube"
"53","nube"
"54","nube"
"55","nube"
"56","nube"
"57","nube"
"58","multiNube"
"59","nube"
"60","multiNube"
"61","multiNube"
"62","nube"
"63","nube"
"64","multiNube"
"65","nube"
"66","multiNube"
"67","nube"
"68","cieloDespejado"
"69","nube"
"70","nube"
"71","nube"
"72","multiNube"
"73","nube"
"74","cieloDespejado"
"75","cieloDespejado"
"76","nube"
"77","nube"
"78","multiNube"
"79","nube"
"80","nube"
"81","nube"
"82","multiNube"
"83","multiNube"
"84","nube"
"85","multiNube"
"86","nube"
"87","nube"
"88","nube"
"89","nube"
"90","nube"
"91","nube"
"92","multiNube"
"93","multiNube"
"94","multiNube"
"95","nube"
"96","nube"
"97","nube"
"98","nube"
"99","nube"
"100","nube"
"101","cieloDespejado"
"102","multiNube"
"103","nube"
"104","nube"
"105","nube"
"106","nube"
"107","nube"
"108","cieloDespejado"
"109","multiNube"
"110","nube"
"111","nube"
"112","nube"
"113","nube"
"114","nube"
"115","nube"
"116","nube"
"117","cieloDespejado"
"118","multiNube"
"119","nube"
"120","nube"
"121","nube"
"122","nube"
"123","nube"
"124","nube"
"125","nube"
"126","cieloDespejado"
"127","nube"
"128","nube"
"129","nube"
"130","multiNube"
"131","nube"
"132","multiNube"
"133","cieloDespejado"
"134","nube"
"135","cieloDespejado"
"136","nube"
"137","nube"
"138","nube"
"139","nube"
"140","multiNube"
"141","nube"
"142","multiNube"
"143","nube"
"144","nube"
"145","nube"
"146","multiNube"
"147","nube"
"148","nube"
"149","nube"
"150","cieloDespejado"
"151","cieloDespejado"
"152","multiNube"
"153","nube"
"154","nube"
"155","nube"
"156","multiNube"
"157","multiNube"
"158","nube"
"159","nube"
"160","nube"
"161","nube"
"162","nube"
"163","multiNube"
"164","nube"
"165","nube"
"166","nube"
"167","multiNube"
"168","nube"
"169","nube"
"170","multiNube"
"171","nube"
"172","nube"
"173","nube"
"174","nube"
"175","nube"
"176","nube"
"177","nube"
"178","nube"
"179","multiNube"
