"","x"
"1","nube"
"2","nube"
"3","multinube"
"4","nube"
"5","nube"
"6","nube"
"7","nube"
"8","nube"
"9","nube"
"10","nube"
"11","nube"
"12","multinube"
"13","nube"
"14","nube"
"15","nube"
"16","nube"
"17","nube"
"18","nube"
"19","cieloDespejado"
"20","nube"
"21","nube"
"22","nube"
"23","nube"
"24","nube"
"25","nube"
"26","multinube"
"27","multinube"
"28","multinube"
"29","nube"
"30","nube"
"31","multinube"
"32","nube"
"33","multinube"
"34","nube"
"35","nube"
"36","nube"
"37","multinube"
"38","nube"
"39","multinube"
"40","multinube"
"41","nube"
"42","nube"
"43","nube"
"44","nube"
"45","nube"
"46","nube"
"47","nube"
"48","nube"
"49","multinube"
"50","nube"
"51","nube"
"52","nube"
"53","nube"
"54","nube"
"55","nube"
"56","nube"
"57","nube"
"58","multinube"
"59","nube"
"60","nube"
"61","nube"
"62","nube"
"63","nube"
"64","multinube"
"65","nube"
"66","nube"
"67","nube"
"68","cieloDespejado"
"69","multinube"
"70","nube"
"71","nube"
"72","multinube"
"73","nube"
"74","cieloDespejado"
"75","cieloDespejado"
"76","nube"
"77","nube"
"78","nube"
"79","nube"
"80","nube"
"81","nube"
"82","nube"
"83","nube"
"84","nube"
"85","nube"
"86","nube"
"87","nube"
"88","nube"
"89","nube"
"90","nube"
"91","nube"
"92","nube"
"93","nube"
"94","nube"
"95","nube"
"96","nube"
"97","nube"
"98","nube"
"99","nube"
"100","nube"
"101","cieloDespejado"
"102","nube"
"103","multinube"
"104","nube"
"105","nube"
"106","multinube"
"107","nube"
"108","nube"
"109","nube"
"110","nube"
"111","nube"
"112","cieloDespejado"
"113","multinube"
"114","nube"
"115","nube"
"116","nube"
"117","cieloDespejado"
"118","nube"
"119","nube"
"120","nube"
"121","nube"
"122","nube"
"123","nube"
"124","nube"
"125","nube"
"126","cieloDespejado"
"127","nube"
"128","nube"
"129","nube"
"130","nube"
"131","multinube"
"132","nube"
"133","cieloDespejado"
"134","multinube"
"135","cieloDespejado"
"136","nube"
"137","nube"
"138","nube"
"139","multinube"
"140","multinube"
"141","nube"
"142","nube"
"143","nube"
"144","nube"
"145","nube"
"146","nube"
"147","nube"
"148","nube"
"149","nube"
"150","cieloDespejado"
"151","cieloDespejado"
"152","nube"
"153","nube"
"154","nube"
"155","nube"
"156","nube"
"157","multinube"
"158","nube"
"159","nube"
"160","nube"
"161","nube"
"162","nube"
"163","multinube"
"164","nube"
"165","nube"
"166","multinube"
"167","multinube"
"168","nube"
"169","nube"
"170","nube"
"171","nube"
"172","nube"
"173","nube"
"174","nube"
"175","nube"
"176","nube"
"177","nube"
"178","nube"
"179","multinube"
