"","x"
"1","nube"
"2","nube"
"3","cieloDespejado"
"4","multiNube"
"5","nube"
"6","nube"
"7","nube"
"8","nube"
"9","nube"
"10","nube"
"11","nube"
"12","cieloDespejado"
"13","multiNube"
"14","nube"
"15","multiNube"
"16","nube"
"17","nube"
"18","multiNube"
"19","nube"
"20","nube"
"21","nube"
"22","nube"
"23","nube"
"24","multiNube"
"25","nube"
"26","nube"
"27","nube"
"28","nube"
"29","nube"
"30","multiNube"
"31","multiNube"
"32","nube"
"33","nube"
"34","multiNube"
"35","nube"
"36","nube"
"37","nube"
"38","nube"
"39","multiNube"
"40","nube"
"41","nube"
"42","nube"
"43","nube"
"44","multiNube"
"45","multiNube"
"46","multiNube"
"47","nube"
"48","nube"
"49","nube"
"50","nube"
"51","nube"
"52","cieloDespejado"
"53","nube"
"54","nube"
"55","nube"
"56","multiNube"
"57","nube"
"58","cieloDespejado"
"59","nube"
"60","cieloDespejado"
"61","nube"
"62","multiNube"
"63","nube"
"64","nube"
"65","nube"
"66","multiNube"
"67","nube"
"68","nube"
"69","nube"
"70","cieloDespejado"
"71","nube"
"72","nube"
"73","multiNube"
"74","multiNube"
"75","nube"
"76","nube"
"77","multiNube"
"78","nube"
"79","nube"
"80","nube"
"81","multiNube"
"82","nube"
"83","nube"
"84","nube"
"85","nube"
"86","multiNube"
"87","nube"
"88","nube"
"89","nube"
"90","multiNube"
"91","nube"
"92","nube"
"93","multiNube"
"94","nube"
"95","nube"
"96","nube"
"97","nube"
"98","nube"
"99","nube"
"100","nube"
"101","nube"
"102","nube"
"103","nube"
"104","nube"
"105","nube"
"106","nube"
"107","multiNube"
"108","nube"
"109","nube"
"110","nube"
"111","nube"
"112","multiNube"
"113","nube"
"114","nube"
"115","nube"
"116","nube"
"117","nube"
"118","nube"
"119","multiNube"
"120","multiNube"
"121","nube"
"122","nube"
"123","multiNube"
"124","nube"
"125","nube"
"126","nube"
"127","cieloDespejado"
"128","nube"
"129","nube"
"130","nube"
"131","nube"
"132","nube"
"133","nube"
"134","nube"
"135","nube"
"136","nube"
"137","nube"
"138","nube"
"139","nube"
"140","nube"
"141","cieloDespejado"
"142","multiNube"
"143","multiNube"
"144","nube"
"145","nube"
"146","nube"
"147","cieloDespejado"
"148","nube"
"149","multiNube"
"150","cieloDespejado"
"151","nube"
"152","nube"
"153","nube"
"154","nube"
"155","nube"
"156","multiNube"
"157","multiNube"
"158","nube"
"159","multiNube"
"160","nube"
"161","multiNube"
"162","nube"
"163","nube"
"164","multiNube"
"165","cieloDespejado"
"166","nube"
"167","multiNube"
"168","nube"
"169","nube"
"170","nube"
"171","nube"
"172","cieloDespejado"
"173","multiNube"
"174","nube"
"175","nube"
"176","multiNube"
"177","nube"
"178","multiNube"
"179","nube"
