"","x"
"1","nube"
"2","nube"
"3","nube"
"4","cieloDespejado"
"5","multiNube"
"6","multiNube"
"7","nube"
"8","nube"
"9","nube"
"10","nube"
"11","nube"
"12","nube"
"13","nube"
"14","cieloDespejado"
"15","multiNube"
"16","cieloDespejado"
"17","multiNube"
"18","multiNube"
"19","nube"
"20","nube"
"21","nube"
"22","nube"
"23","multiNube"
"24","nube"
"25","cieloDespejado"
"26","nube"
"27","nube"
"28","nube"
"29","multiNube"
"30","multiNube"
"31","nube"
"32","multiNube"
"33","nube"
"34","nube"
"35","nube"
"36","multiNube"
"37","nube"
"38","multiNube"
"39","multiNube"
"40","nube"
"41","nube"
"42","cieloDespejado"
"43","multiNube"
"44","nube"
"45","nube"
"46","nube"
"47","multiNube"
"48","nube"
"49","nube"
"50","nube"
"51","nube"
"52","nube"
"53","nube"
"54","nube"
"55","nube"
"56","nube"
"57","nube"
"58","nube"
"59","nube"
"60","nube"
"61","nube"
"62","nube"
"63","nube"
"64","nube"
"65","nube"
"66","nube"
"67","nube"
"68","multiNube"
"69","nube"
"70","cieloDespejado"
"71","cieloDespejado"
"72","nube"
"73","nube"
"74","nube"
"75","nube"
"76","multiNube"
"77","multiNube"
"78","cieloDespejado"
"79","nube"
"80","nube"
"81","nube"
"82","multiNube"
"83","nube"
"84","cieloDespejado"
"85","multiNube"
"86","multiNube"
"87","multiNube"
"88","nube"
"89","nube"
"90","nube"
"91","nube"
"92","nube"
"93","nube"
"94","nube"
"95","nube"
"96","multiNube"
"97","nube"
"98","multiNube"
"99","nube"
"100","nube"
"101","nube"
"102","nube"
"103","nube"
"104","nube"
"105","nube"
"106","nube"
"107","multiNube"
"108","nube"
"109","cieloDespejado"
"110","cieloDespejado"
"111","nube"
"112","nube"
"113","nube"
"114","nube"
"115","nube"
"116","multiNube"
"117","multiNube"
"118","nube"
"119","nube"
"120","nube"
"121","multiNube"
"122","nube"
"123","nube"
"124","nube"
"125","nube"
"126","nube"
"127","multiNube"
"128","nube"
"129","nube"
"130","nube"
"131","nube"
"132","multiNube"
"133","nube"
"134","nube"
"135","nube"
"136","nube"
"137","nube"
"138","multiNube"
"139","nube"
"140","nube"
"141","nube"
"142","nube"
"143","nube"
"144","nube"
"145","multiNube"
"146","nube"
"147","multiNube"
"148","nube"
"149","nube"
"150","nube"
"151","nube"
"152","nube"
"153","nube"
"154","nube"
"155","nube"
"156","nube"
"157","cieloDespejado"
"158","nube"
"159","nube"
"160","nube"
"161","multiNube"
"162","nube"
"163","nube"
"164","nube"
"165","nube"
"166","multiNube"
"167","multiNube"
"168","nube"
"169","nube"
"170","multiNube"
"171","nube"
"172","multiNube"
"173","nube"
"174","nube"
"175","nube"
"176","nube"
"177","multiNube"
"178","nube"
"179","multiNube"
